
C:\Users\fff\Documents\SportsMate>python Main.py


Are you sure you want to receive new ranking data? (y/n) n


--------------------------------------------------          National Basketball Association           --------------------------------------------------

08:59:16 NBA        [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, About To Start(196)

08:59:17 NBA        [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, underdog-None, Ping 0, scores 0:0, 710 remains

08:59:17 NBA        [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, remain equal(710)

08:59:17 NBA        [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, underdog-away, Ping 0, scores 20:14, 181 remains

08:59:17 NBA        [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, About To Start(181)

08:59:17 NBA        [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, underdog-away, Ping 0, scores 16:20, 245 remains

08:59:17 NBA        [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, remain equal(245)

08:59:17 NBA        [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, underdog-None, Ping 0, scores 0:0, 717 remains

08:59:17 NBA        [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, remain equal(717)

08:59:17 NBA        [       Dallas Mavericks       ] vs [         Phoenix Suns         ] : About To Start(83)

08:59:17 NBA        [       Dallas Mavericks       ] vs [         Phoenix Suns         ] : Q1, About To Start(83)

08:59:18 NBA        [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : About To Start(74)

08:59:18 NBA        [     Cleveland Cavaliers      ] vs [        Orlando Magic         ] : Q2, About To Start(74)

08:59:18 NBA        [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, underdog-home, Ping 0, scores 20:26, 196 remains

08:59:18 NBA        [      Philadelphia 76ers      ] vs [       New York Knicks        ] : Q2, About To Start(196)

08:59:18 NBA        [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, underdog-None, Ping 0, scores 0:0, 710 remains

08:59:18 NBA        [        Chicago Bulls         ] vs [        Boston Celtics        ] : Q1, remain equal(710)

08:59:19 NBA        [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, underdog-away, Ping 0, scores 20:14, 181 remains

08:59:19 NBA        [        Indiana Pacers        ] vs [       Detroit Pistons        ] : Q2, About To Start(181)

08:59:21 NBA        [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, underdog-away, Ping 1, scores 16:20, 236 remains

08:59:21 NBA        [       Toronto Raptors        ] vs [        Brooklyn Nets         ] : Q2, Time Exceed(236)

08:59:21 NBA        [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, underdog-None, Ping 0, scores 0:0, 717 remains

08:59:21 NBA        [     New Orleans Pelicans     ] vs [       Houston Rockets        ] : Q1, remain equal(717)

08:59:21 NBA        [       Dallas Mavericks       ] vs [         Phoenix Suns         ] : About To Start(83)
